Organism,In the presence of,MSI,Organism_abundance
Pantoea conspicua,Pantoea sp. IMH,0,1.609456046
Pantoea conspicua,Pantoea sp. NGS-ED-1003,0,1.609456046
Pantoea conspicua,Pantoea sp. OXWO6B1,0.013530928,1.609456046
Pantoea conspicua,Pantoea sp. PSNIH2,0,1.609456046
Pantoea conspicua,Pantoea vagans,0,1.609456046
Pantoea conspicua,Salmonella enterica,0.077319588,1.609456046
Pantoea sp. A4,Enterobacter cloacae,0,2.455010735
Pantoea sp. A4,Escherichia coli,0.004694836,2.455010735
Pantoea sp. A4,Klebsiella pneumoniae,0.004694836,2.455010735
Pantoea sp. A4,Pantoea agglomerans,0.002347418,2.455010735
Pantoea sp. A4,Pantoea ananatis,0.002347418,2.455010735
Pantoea sp. A4,Pantoea conspicua,0.002347418,2.455010735
Pantoea sp. A4,Pantoea sp. At-9b,0.002347418,2.455010735
Pantoea sp. A4,Pantoea sp. IMH,0.002347418,2.455010735
Pantoea sp. A4,Pantoea sp. NGS-ED-1003,0.002347418,2.455010735
Pantoea sp. A4,Pantoea sp. OXWO6B1,0.009389671,2.455010735
Pantoea sp. A4,Pantoea sp. PSNIH2,0.002347418,2.455010735
Pantoea sp. A4,Pantoea vagans,0.002347418,2.455010735
Pantoea sp. A4,Salmonella enterica,0.004694836,2.455010735
Pantoea sp. At-9b,Enterobacter cloacae,0,1.199959665
Pantoea sp. At-9b,Escherichia coli,0.044289044,1.199959665
Pantoea sp. At-9b,Klebsiella pneumoniae,0.044289044,1.199959665
Pantoea sp. At-9b,Pantoea agglomerans,0,1.199959665
Pantoea sp. At-9b,Pantoea ananatis,0,1.199959665
Pantoea sp. At-9b,Pantoea conspicua,0,1.199959665
Pantoea sp. At-9b,Pantoea sp. A4,0,1.199959665
Pantoea sp. At-9b,Pantoea sp. IMH,0,1.199959665
Pantoea sp. At-9b,Pantoea sp. NGS-ED-1003,0,1.199959665
Pantoea sp. At-9b,Pantoea sp. OXWO6B1,0.012237762,1.199959665
Pantoea sp. At-9b,Pantoea sp. PSNIH2,0,1.199959665
Pantoea sp. At-9b,Pantoea vagans,0,1.199959665
Pantoea sp. At-9b,Salmonella enterica,0.040792541,1.199959665
Pantoea sp. IMH,Enterobacter cloacae,0,1.875813152
Pantoea sp. IMH,Escherichia coli,0.06736712,1.875813152
Pantoea sp. IMH,Klebsiella pneumoniae,0.06736712,1.875813152
Pantoea sp. IMH,Pantoea agglomerans,0,1.875813152
Pantoea sp. IMH,Pantoea ananatis,0,1.875813152
Pantoea sp. IMH,Pantoea conspicua,0,1.875813152
Pantoea sp. IMH,Pantoea sp. A4,0,1.875813152
Pantoea sp. IMH,Pantoea sp. At-9b,0,1.875813152
Pantoea sp. IMH,Pantoea sp. NGS-ED-1003,0,1.875813152
Pantoea sp. IMH,Pantoea sp. OXWO6B1,0.011124845,1.875813152
Pantoea sp. IMH,Pantoea sp. PSNIH2,0,1.875813152
Pantoea sp. IMH,Pantoea vagans,0,1.875813152
Pantoea sp. IMH,Salmonella enterica,0.063658838,1.875813152
Pantoea sp. NGS-ED-1003,Enterobacter cloacae,0,12.06182043
Pantoea sp. NGS-ED-1003,Escherichia coli,0.068604651,12.06182043
Pantoea sp. NGS-ED-1003,Klebsiella pneumoniae,0.06627907,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea agglomerans,0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea ananatis,0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea conspicua,0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. A4,0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. At-9b,0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. IMH,0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. OXWO6B1,0.009883721,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. PSNIH2,0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea vagans,0,12.06182043
Pantoea sp. NGS-ED-1003,Salmonella enterica,0.062790698,12.06182043
Pantoea sp. OXWO6B1,Enterobacter cloacae,0,3.414929279
Pantoea sp. OXWO6B1,Escherichia coli,0.015533981,3.414929279
Pantoea sp. OXWO6B1,Klebsiella pneumoniae,0.015533981,3.414929279
Pantoea sp. OXWO6B1,Pantoea agglomerans,0.001941748,3.414929279
Pantoea sp. OXWO6B1,Pantoea ananatis,0.013592233,3.414929279
Pantoea sp. OXWO6B1,Pantoea conspicua,0.001941748,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. A4,0,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. At-9b,0.001941748,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. IMH,0.001941748,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. NGS-ED-1003,0.001941748,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. PSNIH2,0.001941748,3.414929279
Pantoea sp. OXWO6B1,Pantoea vagans,0.001941748,3.414929279
Pantoea sp. OXWO6B1,Salmonella enterica,0.015533981,3.414929279
Pantoea sp. PSNIH2,Enterobacter cloacae,0,2.295147283
Pantoea sp. PSNIH2,Escherichia coli,0.069570478,2.295147283
Pantoea sp. PSNIH2,Klebsiella pneumoniae,0.069570478,2.295147283
Pantoea sp. PSNIH2,Pantoea agglomerans,0,2.295147283
Pantoea sp. PSNIH2,Pantoea ananatis,0,2.295147283
Pantoea sp. PSNIH2,Pantoea conspicua,0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. A4,0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. At-9b,0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. IMH,0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. NGS-ED-1003,0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. OXWO6B1,0.012704174,2.295147283
Pantoea sp. PSNIH2,Pantoea vagans,0,2.295147283
Pantoea sp. PSNIH2,Salmonella enterica,0.065940714,2.295147283
Pantoea vagans,Enterobacter cloacae,0,12.03206123
Pantoea vagans,Escherichia coli,0.072325164,12.03206123
Pantoea vagans,Klebsiella pneumoniae,0.06993425,12.03206123
Pantoea vagans,Pantoea agglomerans,0,12.03206123
Pantoea vagans,Pantoea ananatis,0,12.03206123
Pantoea vagans,Pantoea conspicua,0,12.03206123
Pantoea vagans,Pantoea sp. A4,0,12.03206123
Pantoea vagans,Pantoea sp. At-9b,0,12.03206123
Pantoea vagans,Pantoea sp. IMH,0,12.03206123
Pantoea vagans,Pantoea sp. NGS-ED-1003,0,12.03206123
Pantoea vagans,Pantoea sp. OXWO6B1,0.012552301,12.03206123
Pantoea vagans,Pantoea sp. PSNIH2,0,12.03206123
Pantoea vagans,Salmonella enterica,0.066347878,12.03206123
Salmonella enterica,Enterobacter cloacae,0,2.837945189
Salmonella enterica,Escherichia coli,0.009744214,2.837945189
Salmonella enterica,Klebsiella pneumoniae,0.00365408,2.837945189
Salmonella enterica,Pantoea agglomerans,0,2.837945189
Salmonella enterica,Pantoea ananatis,0.00365408,2.837945189
Salmonella enterica,Pantoea conspicua,0,2.837945189
Salmonella enterica,Pantoea sp. A4,0,2.837945189
Salmonella enterica,Pantoea sp. At-9b,0,2.837945189
Salmonella enterica,Pantoea sp. IMH,0,2.837945189
Salmonella enterica,Pantoea sp. NGS-ED-1003,0,2.837945189
Salmonella enterica,Pantoea sp. OXWO6B1,0,2.837945189
Salmonella enterica,Pantoea sp. PSNIH2,0,2.837945189
Salmonella enterica,Pantoea vagans,0,2.837945189
